home_goals_scored_L5,home_goals_conceded_L5,home_goal_diff_L5,home_goals_scored_L10,home_goals_conceded_L10,home_goal_diff_L10,home_shots_L5,home_shots_on_target_L5,home_shots_L10,home_shots_on_target_L10,home_corners_L5,home_corners_L10,home_fouls_L5,home_yellow_cards_L5,home_fouls_L10,home_yellow_cards_L10,away_goals_scored_L5,away_goals_conceded_L5,away_goal_diff_L5,away_goals_scored_L10,away_goals_conceded_L10,away_goal_diff_L10,away_shots_L5,away_shots_on_target_L5,away_shots_L10,away_shots_on_target_L10,away_corners_L5,away_corners_L10,away_fouls_L5,away_yellow_cards_L5,away_fouls_L10,away_yellow_cards_L10,home_win_streak,away_win_streak,home_form_L5,away_form_L5,h2h_home_wins,h2h_away_wins,goal_diff_interaction,form_interaction,shots_efficiency_home,shots_efficiency_away,FTR
0.8,2.4,-1.5999999999999999,0.875,2.25,-1.375,8.8,5.0,10.25,6.125,6.4,5.375,10.4,1.2,12.0,1.125,1.0,0.8,0.19999999999999996,0.8333333333333334,0.6666666666666666,0.16666666666666674,11.4,6.0,12.166666666666666,6.166666666666667,5.6,4.666666666666667,13.0,2.0,12.666666666666666,2.1666666666666665,0.0,2.0,1.0,5.0,1.0,0.0,-0.3199999999999999,5.0,0.5102040816326531,0.48387096774193544,A
2.0,0.8,1.2,1.5714285714285714,0.5714285714285714,1.0,15.6,8.4,14.571428571428571,7.285714285714286,8.2,7.142857142857143,12.2,1.0,13.285714285714286,1.2857142857142858,1.0,1.4,-0.3999999999999999,1.1428571428571428,1.2857142857142858,-0.14285714285714302,13.8,7.2,12.714285714285714,6.0,4.8,4.571428571428571,13.0,1.0,12.857142857142858,1.0,4.0,1.0,12.0,10.0,0.0,0.0,-0.47999999999999987,120.0,0.5060240963855421,0.48648648648648646,H
1.4,1.2,0.19999999999999996,1.5,1.5,0.0,9.4,6.0,9.75,5.625,4.6,4.25,12.2,0.4,14.0,1.25,1.4,1.4,0.0,1.5714285714285714,1.2857142857142858,0.2857142857142856,8.2,4.4,8.857142857142858,5.0,4.0,3.857142857142857,15.8,3.4,14.428571428571429,2.857142857142857,2.0,1.0,7.0,10.0,0.0,0.0,0.0,70.0,0.5769230769230769,0.47826086956521746,H
1.4,0.8,0.5999999999999999,1.0,0.8571428571428571,0.1428571428571429,10.6,6.4,10.857142857142858,6.0,5.4,6.0,16.4,2.0,16.714285714285715,1.7142857142857142,1.0,1.4,-0.3999999999999999,0.8571428571428571,1.4285714285714286,-0.5714285714285715,10.6,6.0,10.714285714285714,5.857142857142857,3.0,4.142857142857143,12.4,1.8,14.142857142857142,2.2857142857142856,3.0,1.0,11.0,8.0,1.0,0.0,-0.23999999999999988,88.0,0.5517241379310345,0.5172413793103449,H
3.0,0.8,2.2,2.75,0.5,2.25,16.6,7.4,14.0,7.125,5.6,5.5,11.4,1.2,12.25,1.125,1.4,0.8,0.5999999999999999,1.1666666666666667,0.8333333333333334,0.33333333333333337,8.6,4.8,7.833333333333333,4.0,4.4,4.333333333333333,15.4,1.2,14.666666666666666,1.1666666666666667,5.0,4.0,15.0,3.0,0.0,1.0,1.3199999999999998,45.0,0.4204545454545454,0.5,H
1.2,0.0,1.2,1.1428571428571428,0.14285714285714285,1.0,12.2,7.4,13.0,7.0,7.2,6.857142857142857,13.8,1.2,13.0,0.8571428571428571,1.4,1.4,0.0,1.0,1.625,-0.625,8.6,5.0,8.375,4.875,4.2,5.375,14.8,1.4,14.625,1.25,4.0,2.0,13.0,7.0,0.0,0.0,0.0,91.0,0.5606060606060607,0.5208333333333334,D
1.6,1.2,0.40000000000000013,1.4285714285714286,1.0,0.4285714285714286,14.4,7.2,14.142857142857142,7.428571428571429,7.0,7.142857142857143,13.6,0.8,15.571428571428571,1.1428571428571428,1.0,1.4,-0.3999999999999999,1.0,1.1428571428571428,-0.1428571428571428,6.8,3.2,7.142857142857143,2.857142857142857,5.2,4.857142857142857,11.8,1.4,12.0,1.2857142857142858,3.0,1.0,9.0,8.0,1.0,0.0,-0.16000000000000003,72.0,0.4675324675324675,0.4102564102564103,H
0.6,1.4,-0.7999999999999999,0.5714285714285714,1.7142857142857142,-1.1428571428571428,12.4,5.6,12.142857142857142,5.428571428571429,9.2,8.142857142857142,11.8,1.0,11.428571428571429,1.1428571428571428,0.6,1.2,-0.6,0.75,1.625,-0.875,9.0,2.8,9.25,3.625,3.4,4.125,13.2,2.2,13.375,2.0,0.0,0.0,1.0,11.0,0.0,0.0,0.4799999999999999,11.0,0.417910447761194,0.27999999999999997,H
1.2,2.6,-1.4000000000000001,1.0,2.142857142857143,-1.1428571428571428,11.6,5.2,12.857142857142858,5.714285714285714,4.6,4.142857142857143,15.6,1.6,14.142857142857142,1.1428571428571428,1.4,2.2,-0.8000000000000003,1.0,1.8571428571428572,-0.8571428571428572,4.4,2.4,4.714285714285714,2.7142857142857144,2.6,3.4285714285714284,15.2,1.4,15.571428571428571,1.8571428571428572,0.0,1.0,1.0,12.0,0.0,1.0,1.1200000000000006,12.0,0.41269841269841273,0.4444444444444444,H
1.4,0.8,0.5999999999999999,1.3333333333333333,0.6666666666666666,0.6666666666666666,15.2,7.2,15.666666666666666,8.0,6.6,7.333333333333333,13.6,1.4,13.5,1.5,0.6,1.6,-1.0,0.5,1.375,-0.875,8.6,5.0,7.0,3.75,5.8,4.25,12.2,0.8,14.75,1.25,2.0,2.0,8.0,9.0,0.0,1.0,-0.5999999999999999,72.0,0.4444444444444445,0.5208333333333334,D
1.6,0.8,0.8,1.25,0.75,0.5,11.2,5.6,11.875,6.125,7.6,6.125,13.0,1.4,14.125,1.75,1.0,1.8,-0.8,1.0,1.625,-0.625,7.0,4.4,8.0,4.25,3.6,3.75,10.2,1.6,12.375,1.75,3.0,1.0,11.0,10.0,0.0,1.0,-0.6400000000000001,110.0,0.45901639344262296,0.55,H
1.6,0.6,1.0,1.7142857142857142,0.8571428571428571,0.8571428571428571,11.0,5.2,11.571428571428571,5.285714285714286,4.8,4.714285714285714,13.4,1.4,13.0,1.1428571428571428,0.6,1.0,-0.4,0.75,1.125,-0.375,9.4,6.0,7.5,4.75,5.2,4.25,15.6,2.4,16.375,2.375,3.0,1.0,10.0,10.0,0.0,0.0,-0.4,100.0,0.43333333333333335,0.5769230769230769,A
1.4,1.2,0.19999999999999996,1.125,1.0,0.125,12.4,5.8,12.0,5.375,4.8,3.75,13.4,1.2,12.875,1.25,1.2,1.4,-0.19999999999999996,1.7142857142857142,1.1428571428571428,0.5714285714285714,8.4,5.4,9.714285714285714,5.571428571428571,4.8,4.285714285714286,12.8,2.0,13.714285714285714,1.5714285714285714,3.0,3.0,9.0,6.0,1.0,0.0,-0.03999999999999998,54.0,0.43283582089552236,0.574468085106383,H
0.4,1.4,-0.9999999999999999,0.42857142857142855,1.4285714285714286,-1.0,10.4,5.4,11.857142857142858,6.428571428571429,4.8,6.285714285714286,14.2,2.2,13.714285714285714,2.0,0.6,1.6,-1.0,0.42857142857142855,1.7142857142857142,-1.2857142857142856,8.0,4.4,7.571428571428571,3.5714285714285716,4.2,4.0,13.8,1.2,12.428571428571429,1.4285714285714286,0.0,0.0,2.0,11.0,1.0,0.0,0.9999999999999999,22.0,0.4736842105263158,0.48888888888888893,H
1.8,1.4,0.40000000000000013,1.4285714285714286,1.0,0.4285714285714286,9.0,5.4,9.857142857142858,5.428571428571429,3.4,4.142857142857143,13.4,1.4,14.0,1.2857142857142858,0.8,1.8,-1.0,0.625,1.625,-1.0,8.0,5.6,8.375,4.75,3.8,5.0,17.2,3.4,16.625,2.75,3.0,1.0,9.0,10.0,1.0,0.0,-0.40000000000000013,90.0,0.54,0.6222222222222222,H
0.8,0.8,0.0,0.5714285714285714,1.0,-0.4285714285714286,11.2,6.2,11.0,6.0,7.8,8.285714285714286,16.2,1.8,15.142857142857142,2.0,1.0,1.8,-0.8,1.2857142857142858,1.7142857142857142,-0.4285714285714284,7.6,3.4,8.714285714285714,4.142857142857143,4.8,5.571428571428571,15.6,2.4,15.714285714285714,2.5714285714285716,2.0,2.0,7.0,9.0,0.0,1.0,-0.0,63.0,0.5081967213114754,0.3953488372093023,A
0.8,1.6,-0.8,1.0,1.4285714285714286,-0.4285714285714286,12.8,5.8,11.0,4.857142857142857,6.4,6.142857142857143,13.6,1.8,13.571428571428571,1.5714285714285714,2.4,1.8,0.5999999999999999,2.0,1.125,0.875,13.6,8.2,11.875,6.5,5.6,4.875,12.2,2.2,13.25,2.0,1.0,4.0,4.0,3.0,1.0,0.0,-0.4799999999999999,12.0,0.42028985507246375,0.5616438356164383,A
1.4,0.6,0.7999999999999999,1.125,0.625,0.5,12.8,6.4,14.0,7.125,5.0,5.875,12.8,1.2,13.0,1.25,0.4,1.0,-0.6,0.7142857142857143,1.0,-0.2857142857142857,5.4,3.2,6.0,3.857142857142857,4.0,4.0,15.2,1.2,16.142857142857142,1.5714285714285714,3.0,1.0,10.0,10.0,0.0,1.0,-0.4799999999999999,100.0,0.463768115942029,0.5,H
2.0,0.2,1.8,2.2857142857142856,0.2857142857142857,2.0,11.2,7.6,13.0,9.142857142857142,6.4,6.571428571428571,14.0,1.2,14.428571428571429,1.5714285714285714,1.8,0.6,1.2000000000000002,1.7142857142857142,0.42857142857142855,1.2857142857142856,16.0,9.0,16.142857142857142,8.714285714285714,6.0,5.857142857142857,12.4,2.4,11.571428571428571,2.0,5.0,3.0,15.0,4.0,1.0,0.0,2.1600000000000006,60.0,0.6229508196721312,0.5294117647058824,A
2.0,1.6,0.3999999999999999,1.5,1.5,0.0,14.8,8.2,11.75,6.75,6.2,6.0,12.6,1.4,14.375,1.75,1.4,1.2,0.19999999999999996,1.2857142857142858,0.8571428571428571,0.4285714285714287,10.2,6.6,9.0,5.714285714285714,5.4,4.142857142857143,13.8,2.0,14.857142857142858,2.0,2.0,2.0,8.0,5.0,1.0,0.0,0.07999999999999996,40.0,0.5189873417721518,0.5892857142857143,D
0.6,1.0,-0.4,0.6,1.1,-0.5000000000000001,9.2,5.2,11.6,6.5,5.4,6.4,15.2,2.2,13.9,1.9,0.8,1.8,-1.0,0.5,1.6,-1.1,9.0,5.2,7.9,4.4,5.4,4.5,11.2,0.8,13.4,1.2,2.0,2.0,7.0,7.0,0.0,1.0,0.4,49.0,0.5098039215686275,0.52,A
2.2,0.0,2.2,1.6,0.4,1.2000000000000002,20.4,12.0,17.3,8.8,9.2,7.8,10.0,0.8,12.0,1.1,1.4,1.4,0.0,1.4,1.1,0.2999999999999998,7.8,5.2,8.6,5.4,5.0,4.4,12.4,1.6,14.0,1.9,5.0,2.0,15.0,7.0,0.0,0.0,0.0,105.0,0.5607476635514019,0.5909090909090908,H
0.8,1.0,-0.19999999999999996,1.3,0.9,0.4,10.0,3.8,13.2,6.3,6.0,6.4,13.4,1.4,13.8,1.3,1.8,0.8,1.0,1.8,1.1,0.7,14.6,7.6,12.7,6.8,5.4,5.2,12.0,1.6,13.4,1.8,1.0,3.0,4.0,2.0,0.0,0.0,-0.19999999999999996,8.0,0.34545454545454546,0.48717948717948717,H
