FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,homeTeamID,awayTeamID,RecentGoalAvg_Home,RecentGoalAvg_Away,WinStreak_Home,WinStreak_Away,LosingStreak_Home,LosingStreak_Away,HS_RollingAvg_Home,HS_RollingAvg_Away,HST_RollingAvg_Home,HST_RollingAvg_Away,HC_RollingAvg_Home,HC_RollingAvg_Away,HF_RollingAvg_Home,HF_RollingAvg_Away,HY_RollingAvg_Home,HY_RollingAvg_Away,FTHG_RollingAvg_Home,FTHG_RollingAvg_Away,FTAG_RollingAvg_Home,FTAG_RollingAvg_Away,GoalDifference,FTHG_Standardized,FTAG_Standardized,HS_Standardized,AS_Standardized,GoalDifference_Standardized,HistoricalPerformance_Home,HistoricalPerformance_Away,ImpliedProbability_HomeWin,ImpliedProbability_AwayWin,ImpliedProbability_Draw
1.0,0.0,H,0.0,0.0,D,12.0,7.0,6.0,1.0,11.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,2.1,3.2,3.5,27.0,1.0,0.8,0.4,3,0,0,1,12.2,11.6,6.0,5.8,6.2,5.4,14.6,14.0,1.4,1.4,0.8,1.2,0.8,0.4,1.0,-0.4125195608888655,-1.0245808143672315,-0.3326166502368492,-0.8532985036608327,0.35475107559873925,1.0,0.5,0.47619047619047616,0.2857142857142857,0.3125
1.0,3.0,A,0.0,0.0,D,22.0,12.0,11.0,5.0,9.0,6.0,4.0,5.0,1.0,2.0,0.0,0.0,2.05,3.6,3.5,9.0,4.0,1.6,1.6,0,1,1,0,16.0,17.6,6.0,6.0,6.0,4.2,9.8,9.0,1.4,1.6,1.6,0.8,0.6,1.6,-2.0,-0.4125195608888655,1.539940165281933,1.4910491867213258,0.18479731903816635,-1.2691891071221824,1.5536723163841808,1.0955223880597016,0.48780487804878053,0.2857142857142857,0.2777777777777778
0.0,1.0,A,0.0,0.0,D,12.0,9.0,6.0,5.0,15.0,13.0,10.0,7.0,2.0,3.0,0.0,0.0,2.4,3.25,3.0,28.0,38.0,1.2,0.6,0,1,3,0,11.8,14.2,5.4,6.4,5.8,8.0,13.8,9.8,2.0,1.6,1.2,0.8,1.0,0.6,-1.0,-1.171928317535996,-0.16974048781750994,-0.3326166502368492,-0.4380601745812331,-0.7278757128818752,1.1785714285714286,0.7708333333333334,0.4166666666666667,0.3333333333333333,0.3076923076923077
1.0,1.0,D,0.0,1.0,A,15.0,13.0,10.0,8.0,19.0,16.0,10.0,8.0,4.0,1.0,1.0,0.0,1.61,3.4,6.0,14.0,1.0,0.8,0.8,0,0,0,0,12.6,12.4,7.2,7.6,5.8,6.4,17.0,15.0,1.2,2.4,0.8,1.6,1.2,0.8,0.0,-0.4125195608888655,-0.16974048781750994,0.21448310085060324,0.39241648357796616,-0.18656231864156803,0.6666666666666666,0.6,0.6211180124223602,0.16666666666666666,0.29411764705882354
1.0,3.0,A,1.0,3.0,A,5.0,14.0,4.0,6.0,11.0,10.0,3.0,8.0,2.0,3.0,1.0,0.0,10.0,5.25,1.3,13.0,20.0,1.2,2.0,0,1,2,0,12.4,11.2,4.8,4.4,5.4,5.4,11.0,8.2,1.8,1.4,1.2,1.6,2.0,2.0,-2.0,-0.4125195608888655,1.539940165281933,-1.6091827361075717,0.600035648117766,-1.2691891071221824,1.467741935483871,1.5603112840466926,0.1,0.7692307692307692,0.19047619047619047
1.0,2.0,A,0.0,1.0,A,14.0,14.0,7.0,9.0,9.0,10.0,10.0,3.0,1.0,1.0,0.0,0.0,3.8,3.8,1.9,1.0,11.0,1.6,0.6,0,2,1,0,17.8,15.8,6.0,4.8,8.0,6.6,10.2,9.8,1.2,1.4,1.6,1.0,1.4,0.6,-1.0,-0.4125195608888655,0.6850998387322115,0.032116517154785744,0.600035648117766,-0.7278757128818752,1.3317972350230414,1.6193353474320242,0.2631578947368421,0.5263157894736842,0.2631578947368421
4.0,0.0,H,2.0,0.0,H,12.0,9.0,4.0,0.0,13.0,14.0,3.0,7.0,3.0,5.0,0.0,0.0,2.1,3.6,3.75,2.0,34.0,1.6,0.6,1,0,0,1,14.0,12.4,4.2,3.6,8.0,4.8,11.8,11.4,2.0,1.6,1.6,2.6,0.8,0.6,4.0,1.8657067090525261,-1.0245808143672315,-0.3326166502368492,-0.4380601745812331,1.978691258319661,1.0533333333333332,0.7849462365591398,0.47619047619047616,0.26666666666666666,0.2777777777777778
1.0,1.0,D,1.0,1.0,D,18.0,9.0,7.0,6.0,17.0,8.0,4.0,4.0,1.0,1.0,0.0,0.0,2.88,3.5,2.38,41.0,14.0,1.6,1.0,0,0,0,0,17.6,13.4,9.4,6.6,4.8,4.4,13.6,11.2,1.2,1.2,1.6,1.2,1.6,1.0,0.0,-0.4125195608888655,-0.16974048781750994,0.7615828519380557,-0.4380601745812331,-0.18656231864156803,1.6153846153846154,0.9139784946236559,0.3472222222222222,0.42016806722689076,0.2857142857142857
1.0,1.0,D,0.0,0.0,D,9.0,14.0,1.0,5.0,10.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,4.5,3.3,1.9,19.0,18.0,1.6,0.8,0,0,0,0,15.0,9.6,5.0,1.4,3.8,3.6,11.8,9.8,1.6,1.2,1.6,0.4,0.6,0.8,0.0,-0.4125195608888655,-0.16974048781750994,-0.8797164013243017,0.600035648117766,-0.18656231864156803,1.131578947368421,1.053191489361702,0.2222222222222222,0.5263157894736842,0.30303030303030304
1.0,0.0,H,0.0,0.0,D,19.0,4.0,5.0,1.0,8.0,22.0,9.0,2.0,0.0,3.0,0.0,1.0,1.61,3.4,6.0,3.0,25.0,1.0,1.4,2,0,0,1,13.0,17.4,6.4,6.2,6.2,6.2,14.4,12.2,1.2,1.4,1.0,1.2,0.4,1.4,1.0,-0.4125195608888655,-1.0245808143672315,0.9439494356338732,-1.4761559972802323,0.35475107559873925,1.3333333333333333,0.75,0.6211180124223602,0.16666666666666666,0.29411764705882354
1.0,1.0,D,0.0,0.0,D,20.0,11.0,7.0,4.0,16.0,16.0,4.0,5.0,2.0,2.0,0.0,0.0,1.72,3.4,5.0,15.0,12.0,1.0,1.0,0,0,0,0,13.6,16.2,6.0,9.0,4.6,8.0,14.6,12.4,1.8,2.2,1.0,1.2,1.0,1.0,0.0,-0.4125195608888655,-0.16974048781750994,1.1263160193296906,-0.022821845501633464,-0.18656231864156803,2.3043478260869565,1.0,0.5813953488372093,0.2,0.29411764705882354
0.0,3.0,A,0.0,0.0,D,15.0,7.0,4.0,2.0,16.0,11.0,5.0,1.0,0.0,1.0,1.0,0.0,2.0,3.5,3.75,33.0,32.0,1.2,2.2,0,2,1,0,13.0,11.8,4.4,3.6,4.8,6.2,10.4,12.4,0.6,1.6,1.2,1.0,2.2,2.2,-3.0,-1.171928317535996,1.539940165281933,0.21448310085060324,-0.8532985036608327,-1.8105025013624896,1.2,0.7333333333333333,0.5,0.26666666666666666,0.2857142857142857
2.0,1.0,H,0.0,0.0,D,19.0,10.0,9.0,2.0,12.0,11.0,6.0,3.0,2.0,1.0,0.0,0.0,1.44,4.6,8.5,13.0,26.0,1.4,0.6,4,0,0,1,9.2,19.0,4.4,6.6,3.2,6.0,12.6,9.8,1.0,1.2,1.4,2.6,1.0,0.6,1.0,0.346889195758265,-0.16974048781750994,0.9439494356338732,-0.23044101004143328,0.35475107559873925,1.625,0.8636363636363636,0.6944444444444444,0.11764705882352941,0.2173913043478261
1.0,4.0,A,1.0,1.0,D,11.0,9.0,4.0,7.0,19.0,14.0,6.0,1.0,5.0,1.0,0.0,0.0,1.73,3.6,5.0,34.0,19.0,1.8,1.6,0,1,2,0,13.6,14.6,6.8,8.4,4.4,5.8,14.8,10.8,1.8,1.6,1.8,2.4,1.2,1.6,-3.0,-0.4125195608888655,2.3947804918316544,-0.5149832339326668,-0.4380601745812331,-1.8105025013624896,1.0526315789473684,0.8947368421052632,0.5780346820809249,0.2,0.2777777777777778
2.0,1.0,H,1.0,1.0,D,17.0,9.0,6.0,4.0,9.0,10.0,10.0,4.0,2.0,4.0,0.0,0.0,1.22,7.0,11.0,12.0,22.0,1.2,1.0,1,0,0,1,11.8,15.2,4.8,6.8,5.0,5.6,11.2,9.0,2.4,2.0,1.2,2.6,1.0,1.0,1.0,0.346889195758265,-0.16974048781750994,0.5792162682422383,-0.4380601745812331,0.35475107559873925,2.117808219178082,1.2758620689655173,0.819672131147541,0.09090909090909091,0.14285714285714285
1.0,1.0,D,0.0,0.0,D,10.0,19.0,8.0,11.0,13.0,11.0,11.0,6.0,1.0,4.0,0.0,0.0,2.0,3.25,4.0,14.0,37.0,1.0,1.0,0,0,0,0,11.8,11.0,6.4,6.2,7.8,6.4,11.8,10.0,1.4,1.4,1.0,1.4,1.6,1.0,0.0,-0.4125195608888655,-0.16974048781750994,-0.6973498176284842,1.6381314708167651,-0.18656231864156803,1.3018867924528301,0.8461538461538461,0.5,0.25,0.3076923076923077
3.0,1.0,H,2.0,0.0,H,20.0,10.0,13.0,6.0,7.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,1.22,6.0,15.0,6.0,27.0,1.6,1.4,1,0,0,3,15.6,12.8,8.2,6.6,5.6,5.2,7.4,12.0,0.8,1.6,1.6,2.0,1.6,1.4,2.0,1.1062979524053955,-0.16974048781750994,1.1263160193296906,-0.23044101004143328,0.8960644698390464,1.8015873015873016,0.9206349206349206,0.819672131147541,0.06666666666666667,0.16666666666666666
0.0,0.0,D,0.0,0.0,D,16.0,8.0,8.0,3.0,13.0,17.0,9.0,9.0,2.0,0.0,0.0,0.0,1.9,3.25,4.0,44.0,33.0,1.0,0.2,0,0,0,0,13.4,11.8,6.0,5.8,5.8,6.0,11.4,12.0,1.4,1.0,1.0,0.8,0.8,0.2,0.0,-1.171928317535996,-1.0245808143672315,0.3968496845464207,-0.6456793391210329,-0.18656231864156803,1.0,0.3333333333333333,0.5263157894736842,0.25,0.3076923076923077
3.0,2.0,H,1.0,2.0,A,16.0,12.0,4.0,2.0,12.0,14.0,4.0,3.0,1.0,4.0,0.0,0.0,2.05,3.6,3.5,22.0,4.0,1.6,1.2,2,0,0,2,12.0,13.4,3.2,4.8,4.2,5.0,11.2,11.4,1.2,1.6,1.6,2.2,1.2,1.2,1.0,1.1062979524053955,0.6850998387322115,0.3968496845464207,0.18479731903816635,0.35475107559873925,1.5714285714285714,1.065625,0.48780487804878053,0.2857142857142857,0.2777777777777778
1.0,1.0,D,1.0,0.0,H,20.0,11.0,8.0,5.0,9.0,14.0,16.0,3.0,5.0,2.0,0.0,0.0,1.4,5.0,9.0,12.0,7.0,1.8,0.8,0,0,0,0,15.6,18.8,6.2,4.4,8.6,9.6,12.2,6.8,3.2,1.6,1.8,0.6,1.2,0.8,0.0,-0.4125195608888655,-0.16974048781750994,1.1263160193296906,-0.022821845501633464,-0.18656231864156803,2.134831460674157,0.6486486486486487,0.7142857142857143,0.1111111111111111,0.2
